marksInside50,handballs,positionCode,clangers,hitoutsToAdvantage,penalty50sAgainst,disposals,goalAssists,kickEfficiency,kicksEffective,marksUncontested,tackles,freesFor,behinds,playerId,goals,inside50s,jumperNumber,disposalEfficiency,blocks,squadId,marks,hitouts,kicks,marksContested,possessionsContested,freesAgainst,clearances,kicksIneffective,possessionsUncontested,firstname,recruitedFrom,mainPlayingPosition,displayName,shortDisplayName,positionName,debut,positionId,surname,dob,height,squadShortName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,1,INT,0,2,0,3,0,50,1,1,2,0,0,1007023,0,0,16,67,0,8096,1,14,2,0,0,0,0,1,2,Breann,Fremantle,Ruckman,B.Moody,"Moody, B",Interchange,2017,20,Moody,1997-03-04T00:00:00+11:00,180,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,0,FP,0,0,0,1,0,100,1,0,0,0,0,1007025,0,0,32,100,0,8096,0,0,1,0,0,0,0,0,1,Natalie,Seaford,General Defender,N.Plane,"Plane, N",Forward Pocket,2017,15,Plane,1996-08-04T00:00:00+10:00,168,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,2,CHB,3,0,0,7,1,60,3,0,5,2,0,1007026,0,2,6,71,0,8096,0,0,5,0,6,1,0,1,1,Gabriella,Melbourne Uni,General Forward,G.Pound,"Pound, G",Centre Half Back,2017,5,Pound,1994-10-16T00:00:00+10:00,166,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
1,3,FB,2,0,0,13,0,70,7,0,2,1,1,997663,4,2,3,69,0,8096,2,0,10,2,12,1,1,3,2,Darcy,Darebin Falcons,Key Forward,D.Vescio,"Vescio, D",Full Back,2017,2,Vescio,1993-08-03T00:00:00+10:00,166,CARL,Carlton,8096,8097,Collingwood,1,10064,2,100640101
0,6,FF,1,0,0,14,0,25,2,1,5,3,0,997683,0,2,38,36,0,8097,1,0,8,0,12,0,6,5,2,Amelia,Diamond Creek,Midfielder,A.Barden,"Barden, A",Full Forward,2017,14,Barden,1993-04-17T00:00:00+10:00,167,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,0,INT,5,0,0,4,0,50,2,3,1,0,0,997680,0,2,6,50,0,8097,3,0,4,0,1,0,0,0,3,Christina,Diamond Creek,Mid-Forward,C.Bernardi,"Bernardi, C",Interchange,2017,20,Bernardi,1990-06-07T00:00:00+10:00,167,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,3,C,5,0,0,8,0,40,2,1,9,2,0,997729,0,0,8,50,0,8097,1,0,5,0,3,2,0,1,5,Brittany,St Kilda Sharks,Midfielder,B.Bonnici,"Bonnici, B",Centre,2017,8,Bonnici,1997-03-08T00:00:00+11:00,163,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,2,HFF,3,0,0,4,0,0,0,1,2,1,0,1007139,0,2,22,25,0,8097,2,0,2,1,3,1,0,1,1,Sophie,,Midfielder,S.Casey,"Casey, S",Half Forward Flank,2017,10,Casey,1991-10-22T00:00:00+10:00,165,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,2,HBF,1,0,0,9,0,43,3,1,3,1,1,998158,0,1,17,56,0,8097,1,0,7,0,7,0,1,4,3,Stephanie,Diamond Creek,Midfielder,S.Chiocci,Chiocci,Half Back Flank,2017,6,Chiocci,1988-12-06T00:00:00+11:00,170,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
1,4,FB,4,0,0,14,0,50,5,2,2,3,0,1004400,0,1,4,64,0,8097,3,0,10,1,9,1,0,2,4,Sarah,Eastern Devils,Key Forward,S.D'Arcy,"D'Arcy, S",Full Back,2017,2,D'Arcy,1991-08-22T00:00:00+10:00,171,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
1,0,EMERG,2,0,0,7,0,57,4,3,1,2,1,1005864,0,3,27,57,0,8097,3,0,7,0,4,1,0,2,4,Jess,Diamond Creek,General Forward,J.Duffin,"Duffin, J",Emergency,2017,23,Duffin,1989-06-27T00:00:00+10:00,162,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,3,INT,2,0,0,11,0,50,4,2,4,1,1,998159,0,0,1,54,0,8097,2,0,8,0,7,0,2,2,5,Caitlyn,East Fremantle,General Defender,C.Edwards,"Edwards, C",Interchange,2017,19,Edwards,1996-06-27T00:00:00+10:00,167,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,3,BP,1,0,0,9,0,17,1,1,8,0,0,998029,0,3,2,22,0,8097,1,0,6,0,4,0,3,4,5,Alicia,Melbourne Uni,Midfielder,A.Eva,"Eva, A",Back Pocket,2017,1,Eva,1991-04-02T00:00:00+10:00,163,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
1,1,FP,0,0,0,7,0,83,5,2,3,1,0,296154,1,4,43,86,0,8097,3,0,6,1,4,0,0,1,4,Jasmine,St Kilda Sharks,Key Forward,J.Garner,"Garner, J",Forward Pocket,2017,15,Garner,1994-07-08T00:00:00+10:00,175,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,1,BP,2,0,0,3,0,50,1,0,4,1,0,1004401,0,0,5,67,0,8097,0,0,2,0,3,0,1,0,1,Emma,Bendigo,General Defender,E.Grant,"Grant, E",Back Pocket,2017,3,Grant,1989-07-22T00:00:00+10:00,166,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
1,3,CHF,0,0,0,4,0,0,0,0,1,0,1,997672,0,0,23,50,0,8097,1,0,1,1,4,0,0,1,0,Moana,St Kilda Sharks,Key Forward,M.Hope,"Hope, M",Centre Half Forward,2017,11,Hope,1988-02-14T00:00:00+11:00,170,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,0,HFF,1,0,0,10,0,90,9,3,2,0,0,997688,0,3,25,90,0,8097,3,1,10,0,2,1,0,1,6,Meg,Eastern Devils,Key Defender,M.Hutchins,"Hutchins, M",Half Forward Flank,2017,12,Hutchins,1982-02-03T00:00:00+11:00,174,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,1,RK,1,2,0,5,0,100,4,1,1,0,0,1001686,0,1,60,80,0,8097,1,20,4,0,1,1,0,0,3,Emma,Coastal Titans,Ruckman,E.King,"King, E",Ruck,2017,16,King,1994-06-28T00:00:00+10:00,186,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,2,CHB,1,0,0,7,0,60,3,2,3,0,0,1007015,0,0,12,57,0,8097,2,0,5,0,4,0,1,2,3,Stacey,Port Melbourne Colts,Key Defender,S.Livingstone,"Livingstone, S",Centre Half Back,2017,5,Livingstone,1988-01-23T00:00:00+11:00,176,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,3,R,0,0,0,8,0,60,3,2,4,0,0,1001684,0,3,20,62,2,8097,2,0,5,0,2,0,0,2,6,Cecilia,Melbourne Uni,General Defender,C.McIntosh,"McIntosh, C",Rover,2017,18,McIntosh,1979-06-21T00:00:00+10:00,161,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,0,FP,2,0,0,8,0,38,3,2,8,2,0,1007024,0,2,26,38,0,8097,2,0,8,0,5,0,1,3,3,Tara,South Fremantle,Key Defender,T.Morgan,"Morgan, T",Forward Pocket,2017,13,Morgan,1989-01-05T00:00:00+11:00,168,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,1,INT,0,0,0,4,0,33,1,1,5,0,0,1006649,0,0,11,25,0,8097,1,0,3,0,1,0,0,2,2,Helen,VU Western Spurs,Midfielder,H.Roden,"Roden, H",Interchange,2017,21,Roden,1986-03-26T00:00:00+10:00,175,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,5,INT,2,3,0,7,0,0,0,0,4,0,0,1007027,0,0,18,43,0,8097,0,7,2,0,3,0,0,1,3,Ruby,Western Australiia,Ruckman,R.Schleicher,"Schleicher, R",Interchange,2017,22,Schleicher,1998-03-16T00:00:00+11:00,175,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,2,RR,1,0,0,7,0,80,4,3,8,2,0,998164,0,0,21,71,0,8097,3,0,5,0,5,1,0,1,3,Nicola,Melbourne Uni,Key Defender,N.Stevens,"Stevens, N",Ruck Rover,2017,17,Stevens,1993-03-24T00:00:00+10:00,173,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,2,HBF,2,0,0,3,0,100,1,0,5,0,0,1006990,0,0,7,33,0,8097,0,0,1,0,3,1,1,0,0,Lauren,Eastern Devils,Midfielder,L.Tesoriero,"Tesoriero, L",Half Back Flank,2017,4,Tesoriero,1986-10-09T00:00:00+10:00,170,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
0,4,EMERG,1,0,0,10,0,17,1,0,4,1,0,998048,0,0,33,30,1,8097,0,0,6,0,7,0,3,5,3,Bree,VU Western Spurs,Midfielder,B.White,"White, B",Emergency,2017,24,White,1981-12-18T00:00:00+11:00,158,COLL,Collingwood,8096,8097,Carlton,1,10064,2,100640101
